route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
L100D99,99,LOĎ,"Bystrc - Rokle - Veverská Bítýška",4,00224B,FFFFFF
L104D99,99,104,"Brno - Pohořelice - Vlasatice - Hrušovany nad Jevišovkou - Hevlín - Laa an der Thaya",3,00E68C,
L105D99,99,105,"Brno - Modřice - Pohořelice - Pasohlávky - Dolní Dunajovice - Mikulov",3,00E68C,
L106D99,99,106,"Brno - Slavkov u Brna - Žarošice - Dražůvky - Kyjov",3,00E68C,
L107D99,99,107,"Vyškov - Rousínov - Brno",3,00E68C,
L108D99,99,108,"Brno - Modřice - Pohořelice - Lechovice - Znojmo",3,00E68C,
L109D99,99,109,"Brno - Telnice - Klobouky u Brna - Čejč - Mutěnice - Hodonín",3,00E68C,
L10D99,99,10,"Stránská skála - Bystrc, Ečerova",0,A05A2C,FFFFFF
L110D99,99,S5,"Kunovice - Uherské Hradiště - Staré Město u Uherského Hradiště",2,800000,FFFFFF
L114D99,99,xS8,"NÁHRADNÍ DOPRAVA ZA VLAKBožice - Znojmo",3,7FFFAA,
L115D99,99,xS81,"NÁHRADNÍ DOPRAVA ZA VLAK Znojmo - Šumná",3,7FFFAA,
L120D99,99,S2,"Vyškov - Holubice - Křenovice - Sokolnice - Brno - Blansko - Skalice nad Svitavou - Letovice",2,800000,FFFFFF
L121D99,99,S21,"Boskovice - Skalice nad Svitavou",2,800000,FFFFFF
L122D99,99,S22,"Letovice - Březová nad Svitavou",2,800000,FFFFFF
L123D99,99,R9,"Tišnov - Kuřim - Brno",2,800000,FFFFFF
L124D99,99,R11,"Náměšť nad Oslavou - Brno",2,800000,FFFFFF
L125D99,99,R19,"Brno - Blansko - Letovice - Březová nad Svitavou",2,800000,FFFFFF
L127D99,99,S71,"Vyškov - Ivanovice na Hané - Nezamyslice",2,800000,FFFFFF
L128D99,99,S8,"Znojmo - Hrušovany nad Jevišovkou-Šanov - Mikulov - Valtice - Břeclav",2,800000,FFFFFF
L12D99,99,12,"Technologický park - Komárov",0,00CCFF,FFFFFF
L130D99,99,S3,"Křižanov - Tišnov - Brno hl.n. - Vranovice - Šakvice - HustopečeTišnov - Brno hl.n. - Židlochovice",2,800000,FFFFFF
L131D99,99,S31,"Rovné-Divišov - Bystřice nad Pernštejnem - Nedvědice - Tišnov",2,800000,FFFFFF
L132D99,99,S51,"Šakvice - Břeclav",2,800000,FFFFFF
L133D99,99,S52,"Zaječí - Kobylí - Hodonín",2,800000,FFFFFF
L135D99,99,R13,"Brno - Břeclav - Hodonín - Moravský Písek - Staré Město u U. H.",2,800000,FFFFFF
L136D99,99,R50,"Brno - Břeclav",2,800000,E1CB31
L137D99,99,S82,"Znojmo - Šatov - Retz",2,800000,FFFFFF
L138D99,99,S81,"Moravské Budějovice - Znojmo",2,800000,FFFFFF
L139D99,99,S9,"Břeclav - Hodonín - Moravský Písek - Staré Město u U. H.",2,800000,FFFFFF
L140D99,99,S4,"Zastávka - Rosice - Střelice - Brno",2,800000,FFFFFF
L141D99,99,S41,"Hrušovany n.J.-Šanov - Bohutice - Moravský Krumlov - Moravské Bránice - Střelice - BrnoIvančice - Moravské Bránice - Střelice - Brno",2,800000,FFFFFF
L142D99,99,S42,"Náměšť nad Oslavou - Rapotice - Zastávka",2,800000,FFFFFF
L144D99,99,R12,"Brno - Vyškov - Nezamyslice",2,800000,FFFFFF
L145D99,99,R54,"Náměšť nad Oslavou - Brno",2,800000,FFFFFF
L146D99,99,S6,"Brno - Šlapanice - Slavkov u Brna - Bučovice - Kyjov - Veselí nad Moravou - Uherské Hradiště - Staré Město u U. H.",2,800000,FFFFFF
L147D99,99,R8,"Brno - Vyškov na Moravě",2,800000,E1CB31
L148D99,99,S61,"Bzenec - Moravský Písek",2,800000,FFFFFF
L149D99,99,S91,"Myjava - Javorník nad Veličkou - Velká nad Veličkou - Veselí nad Moravou - Strážnice - Hodonín",2,800000,FFFFFF
L151D99,99,151,"Brno - Šlapanice - Kobylnice - Sokolnice - Měnín - Židlochovice",3,7FFFAA,
L152D99,99,152,"Blansko - Lipůvka - Kuřim",3,7FFFAA,
L153D99,99,153,"Tišnov - Veverská Bítýška - Zastávka - Zbýšov - Oslavany - Ivančice",3,7FFFAA,
L154D99,99,154,"Ivančice - Dolní Kounice - Židlochovice",3,7FFFAA,
L156D99,99,156,"Vyškov - Hlubočany - Bohdalice-Pavlovice - Bučovice",3,7FFFAA,
